step	loss
21	0.2920524775981903
43	0.17955176532268524
65	0.1414881944656372
87	0.11712527275085449
109	0.09923307597637177
131	0.0968656912446022
153	0.09720438718795776
175	0.10051394999027252
197	0.09683672338724136
219	0.10125616937875748
241	0.10854940116405487
263	0.10833822190761566
285	0.10683128237724304
307	0.10221926122903824
329	0.10037907212972641
351	0.08699141442775726
373	0.09341900050640106
395	0.10549560189247131
417	0.10688894987106323
439	0.0909932404756546
461	0.09650098532438278
483	0.09109082072973251
505	0.09118428826332092
527	0.10069260746240616
549	0.09710825979709625
571	0.08959291875362396
593	0.08455125242471695
615	0.0958414077758789
637	0.09839572757482529
659	0.08727791905403137
681	0.08797739446163177
703	0.09122052043676376
725	0.09655891358852386
747	0.08530434966087341
769	0.09221846610307693
791	0.08977736532688141
813	0.08097565174102783
835	0.08988943696022034
857	0.08259718120098114
879	0.09157314896583557
901	0.08889295160770416
923	0.08640193939208984
945	0.07686811685562134
967	0.08429411053657532
989	0.09533826261758804
1011	0.09619966894388199
1033	0.09843388944864273
1055	0.08183344453573227
1077	0.0942363291978836
1099	0.0902775377035141
1121	0.08338110893964767
1143	0.09052076935768127
1165	0.08584193140268326
1187	0.08317955583333969
1209	0.09607622027397156
1231	0.09209205210208893
1253	0.08691449463367462
1275	0.08711177110671997
1297	0.08596518635749817
1319	0.09195650368928909
1341	0.09223189204931259
1363	0.08795879036188126
1385	0.09120862185955048
1407	0.08755335956811905
1429	0.08043400943279266
1451	0.0916789174079895
1473	0.08367963880300522
1495	0.08617939800024033
1517	0.09886511415243149
1539	0.09043678641319275
1561	0.09110459685325623
1583	0.08085934072732925
1605	0.08435763418674469
1627	0.08465508371591568
1649	0.0903039425611496
1671	0.08200319111347198
1693	0.08758226037025452
1715	0.08548901975154877
1737	0.08228996396064758
1759	0.08479995280504227
1781	0.08170469850301743
1803	0.08311153203248978
1825	0.07923079282045364
1847	0.08652123808860779
1869	0.08904243260622025
1891	0.09078586101531982
1913	0.08708968758583069
1935	0.08231686055660248
1957	0.09072397649288177
1979	0.08409551531076431
2001	0.08478179574012756
2023	0.09020610898733139
2045	0.08460899442434311
2067	0.08782444894313812
2089	0.08212865889072418
2111	0.0746854916214943
2133	0.07787881791591644
2155	0.07854617387056351
2177	0.07739346474409103
2199	0.08463078737258911
2221	0.08452169597148895
2243	0.07775934785604477
2265	0.0743567943572998
2287	0.08350008726119995
2309	0.07969160377979279
2331	0.07992763072252274
2353	0.07917466759681702
2375	0.08860664069652557
2397	0.08067414909601212
2419	0.07516953349113464
2441	0.08504045754671097
2463	0.0800551325082779
2485	0.08415888249874115
2507	0.07602963596582413
2529	0.08656821399927139
2551	0.0805588886141777
2573	0.07613688707351685
2595	0.08630157262086868
2617	0.07917862385511398
2639	0.0763523131608963
2661	0.08282293379306793
2683	0.08267049491405487
2705	0.07859457284212112
2727	0.07891469448804855
2749	0.08764257282018661
2771	0.08934538066387177
2793	0.08693386614322662
2815	0.08214602619409561
2837	0.09071117639541626
2859	0.07664079964160919
2881	0.08583714812994003
2903	0.07850104570388794
2925	0.08270220458507538
2947	0.0847734659910202
2969	0.07407063990831375
2991	0.07941083610057831
3013	0.07307658344507217
3035	0.07027965039014816
3057	0.07887974381446838
3079	0.08578593283891678
3101	0.07796543091535568
3123	0.08012041449546814
3145	0.08036800473928452
3167	0.07507240772247314
3189	0.08376741409301758
3211	0.07962988317012787
3233	0.07828137278556824
3255	0.07722065597772598
3277	0.08625702559947968
3299	0.08380832523107529
3321	0.08282504975795746
3343	0.07475098967552185
3365	0.07910361886024475
3387	0.0724736899137497
3409	0.08091866225004196
3431	0.08658470213413239
3453	0.07706483453512192
3475	0.082240991294384
3497	0.08434388786554337
3519	0.07655838876962662
3541	0.09423253685235977
3563	0.07864830642938614
3585	0.07448209822177887
3607	0.07715076208114624
3629	0.08264318108558655
3651	0.07623765617609024
3673	0.08705852925777435
3695	0.07694996893405914
3717	0.0807105079293251
3739	0.08224720507860184
3761	0.0766037255525589
3783	0.082094207406044
3805	0.06899788975715637
3827	0.07524789869785309
3849	0.08124731481075287
3871	0.08175203204154968
3893	0.08705301582813263
3915	0.07540411502122879
3937	0.07679486274719238
3959	0.07357845455408096
3981	0.07961759716272354
4003	0.0813644751906395
4025	0.08105511218309402
4047	0.07807250320911407
4069	0.0802273228764534
4091	0.08373122662305832
4113	0.08005200326442719
4135	0.07487703859806061
4157	0.07938782125711441
4179	0.08625146001577377
4201	0.0827544704079628
4223	0.07293501496315002
4245	0.08389319479465485
4267	0.07658892869949341
4289	0.08341546356678009
4311	0.0781945213675499
4333	0.06926249712705612
4355	0.07850859314203262
4377	0.07502377033233643
4399	0.07568173855543137
4421	0.08193936198949814
4443	0.07321612536907196
4465	0.0738617405295372
4487	0.07677257061004639
4509	0.08080268651247025
4531	0.07813836634159088
4553	0.08379894495010376
4575	0.0735740140080452
4597	0.08036883920431137
4619	0.0760217159986496
4641	0.08015523850917816
4663	0.08659203350543976
4685	0.07712622731924057
4707	0.07659830898046494
4729	0.08108733594417572
4751	0.07671705633401871
4773	0.08486796915531158
4795	0.07830929756164551
4817	0.0807107612490654
4839	0.07555783540010452
4861	0.07091416418552399
4883	0.07674411684274673
4905	0.0719120055437088
4927	0.07208073139190674
4949	0.07831534743309021
4971	0.08431892096996307
4993	0.08438067138195038
5015	0.06929781287908554
5037	0.08182205259799957
5059	0.0755445808172226
2727	0.06943146884441376
2749	0.07678675651550293
2771	0.07206131517887115
2793	0.07813078910112381
2815	0.08224077522754669
2837	0.07740869373083115
2859	0.07586750388145447
2881	0.08044015616178513
2903	0.08591616898775101
2925	0.0811130702495575
2947	0.07813562452793121
2969	0.08906727284193039
2991	0.07479073852300644
3013	0.08027396351099014
3035	0.07530410587787628
3057	0.07601431757211685
3079	0.0724630057811737
3101	0.07239066064357758
3123	0.06597911566495895
