step	loss
3959	0.15652154386043549
3981	0.15360790491104126
4003	0.15974412858486176
4025	0.16352330148220062
4047	0.17070899903774261
4069	0.15619446337223053
4091	0.13783371448516846
4113	0.1683047115802765
4135	0.15386272966861725
4157	0.15930911898612976
4179	0.1527515947818756
4201	0.15850086510181427
4223	0.16212895512580872
4245	0.1521058976650238
4267	0.13917545974254608
4289	0.15372757613658905
4311	0.1569490134716034
4333	0.15561288595199585
4355	0.15499617159366608
4377	0.1528366208076477
4399	0.17924849689006805
4400	0.16418978571891785
