step	loss
3981	0.1426103264093399
4003	0.14990507066249847
4025	0.15695369243621826
4047	0.16480843722820282
4069	0.14727653563022614
4091	0.12986160814762115
4113	0.16370368003845215
4135	0.14609098434448242
4157	0.1503036916255951
4179	0.14463864266872406
4201	0.14970791339874268
4223	0.15376676619052887
4245	0.14535419642925262
4267	0.13497446477413177
4289	0.14742252230644226
4311	0.14847074449062347
4333	0.15062066912651062
4355	0.1478896141052246
4377	0.14719389379024506
4399	0.17121204733848572
4400	0.1543438881635666
